21;janelas.JdgCadastroVersao;Cadastro de Versao;btnExcluir;Excluir;"INSERT INTO public.telas(id, tela, tela_amigavel, acao, acao_amigavel) VALUES (21, 'janelas.JdgCadastroVersao', 'Cadastro de Versao', 'btnExcluir', 'Excluir');"
22;janelas.JdgListaPermissoes;Cadastro de Permissao;btnSalvar;Salvar;"INSERT INTO public.telas(id, tela, tela_amigavel, acao, acao_amigavel) VALUES (22, 'janelas.JdgListaPermissoes', 'Cadastro de Permissao', 'btnSalvar', 'Salvar');"
23;janelas.JdgCadastroCliente;Cadastro da Cliente;btnSalvar;Salvar;"INSERT INTO public.telas(id, tela, tela_amigavel, acao, acao_amigavel) VALUES (23, 'janelas.JdgCadastroCliente', 'Cadastro da Cliente', 'btnSalvar', 'Salvar');"
24;janelas.JdgCadastroCliente;Cadastro da Cliente;btnLocalizar;Localizar;"INSERT INTO public.telas(id, tela, tela_amigavel, acao, acao_amigavel) VALUES (24, 'janelas.JdgCadastroCliente', 'Cadastro da Cliente', 'btnLocalizar', 'Localizar');"
25;janelas.JdgCadastroCliente;Cadastro da Cliente;btnExcluir;Excluir;"INSERT INTO public.telas(id, tela, tela_amigavel, acao, acao_amigavel) VALUES (25, 'janelas.JdgCadastroCliente', 'Cadastro da Cliente', 'btnExcluir', 'Excluir');"
26;janelas.JdgCadastroCidade;Cadastro de Cidade;btnSalvar;Salvar;"INSERT INTO public.telas(id, tela, tela_amigavel, acao, acao_amigavel) VALUES (26, 'janelas.JdgCadastroCidade', 'Cadastro de Cidade', 'btnSalvar', 'Salvar');"
27;janelas.JdgCadastroCidade;Cadastro de Cidade;btnLocalizar;Localizar;"INSERT INTO public.telas(id, tela, tela_amigavel, acao, acao_amigavel) VALUES (27, 'janelas.JdgCadastroCidade', 'Cadastro de Cidade', 'btnLocalizar', 'Localizar');"
28;janelas.JdgCadastroCidade;Cadastro de Cidade;btnExcluir;Excluir;"INSERT INTO public.telas(id, tela, tela_amigavel, acao, acao_amigavel) VALUES (28, 'janelas.JdgCadastroCidade', 'Cadastro de Cidade', 'btnExcluir', 'Excluir');"
29;janelas.JdgAlteracaoSenha;Alterar Senha;btnConfirmar;Confirmar;"INSERT INTO public.telas(id, tela, tela_amigavel, acao, acao_amigavel) VALUES (29, 'janelas.JdgAlteracaoSenha', 'Alterar Senha', 'btnConfirmar', 'Confirmar');"
30;janelas.JdgParametrosSistema;Parametros do Sistema;btnEnableAuditoria;Ativar Auditoria;"INSERT INTO public.telas(id, tela, tela_amigavel, acao, acao_amigavel) VALUES (30, 'janelas.JdgParametrosSistema', 'Parametros do Sistema', 'btnEnableAuditoria', 'Ativar Auditoria');"
31;janelas.JdgParametrosSistema;Parametros do Sistema;btnDisableAuditoria;Desativar Auditoria;"INSERT INTO public.telas(id, tela, tela_amigavel, acao, acao_amigavel) VALUES (31, 'janelas.JdgParametrosSistema', 'Parametros do Sistema', 'btnDisableAuditoria', 'Desativar Auditoria');"
32;janelas.JdgCadastroTarefa;Cadastro de Tarefa;btnSalvar;Salvar;"INSERT INTO public.telas(id, tela, tela_amigavel, acao, acao_amigavel) VALUES (32, 'janelas.JdgCadastroTarefa', 'Cadastro de Tarefa', 'btnSalvar', 'Salvar');"
33;janelas.JdgCadastroTarefa;Cadastro de Tarefa;btnLocalizar;Localizar;"INSERT INTO public.telas(id, tela, tela_amigavel, acao, acao_amigavel) VALUES (33, 'janelas.JdgCadastroTarefa', 'Cadastro de Tarefa', 'btnLocalizar', 'Localizar');"
34;janelas.JdgCadastroTarefa;Cadastro de Tarefa;btnExcluir;Excluir;"INSERT INTO public.telas(id, tela, tela_amigavel, acao, acao_amigavel) VALUES (34, 'janelas.JdgCadastroTarefa', 'Cadastro de Tarefa', 'btnExcluir', 'Excluir');"
